season,age,gender,ta,thermal_sensation,BMI,cluster
1.0,31.0,1.0,25.3,1.0,24.43007731994861,0
1.0,38.0,1.0,24.6,-0.5,25.796626959085,0
1.0,60.0,1.0,24.0,-0.5,25.46938775510204,0
1.0,38.0,1.0,24.0,0.6,23.97909254103113,0
1.0,24.0,2.0,24.6,0.0,20.50631032274317,1
1.0,38.0,1.0,24.6,0.1,26.214147247991963,0
1.0,31.0,1.0,24.0,0.0,23.52654131790789,0
1.0,24.0,2.0,24.7,0.0,20.483819319961547,1
1.0,24.0,1.0,23.5,-1.0,22.362077494483906,0
1.0,24.0,1.0,23.5,1.0,24.253840692260745,0
1.0,31.0,1.0,24.0,-3.0,23.96266107360829,0
1.0,24.0,1.0,23.5,0.0,21.841843124361034,0
1.0,24.0,2.0,23.7,0.0,23.52141447630869,1
1.0,45.0,1.0,23.5,0.7,24.174920304396917,0
1.0,38.0,1.0,24.0,-0.5,24.376907410572837,0
1.0,45.0,1.0,24.1,-0.5,26.755393200738546,0
1.0,31.0,1.0,24.1,-1.0,24.78389439342169,0
1.0,31.0,1.0,24.1,0.0,23.52654131790789,0
1.0,31.0,1.0,24.0,1.0,22.706210360953254,0
1.0,31.0,1.0,24.6,0.0,21.94815036235256,0
1.0,31.0,1.0,24.0,-0.5,24.5062602339764,0
1.0,38.0,1.0,24.0,0.5,24.376907410572837,0
1.0,31.0,1.0,23.5,-1.0,26.285042156097216,0
1.0,38.0,1.0,23.5,0.0,29.302550121039065,0
1.0,24.0,1.0,23.6,1.0,25.118279025257603,0
1.0,24.0,2.0,23.6,-0.3,23.21654550065557,1
1.0,38.0,1.0,23.6,0.8,25.06904901725052,0
1.0,24.0,1.0,23.6,0.5,22.49779683317904,0
1.0,38.0,1.0,23.1,-1.5,25.033017972257696,0
1.0,31.0,1.0,23.1,-0.6,26.88596614547081,0
1.0,52.0,1.0,24.0,0.0,24.895444120841784,0
1.0,45.0,2.0,24.0,0.9,22.50756056076865,1
1.0,45.0,1.0,24.0,2.0,26.298315351751835,3
1.0,31.0,2.0,25.2,0.5,20.081846121101584,1
1.0,38.0,1.0,23.6,-1.0,27.567076885953437,0
