season,age,gender,ta,thermal_sensation,BMI
1.0,31.0,1.0,25.3,1.0,24.430077319948612
1.0,38.0,1.0,24.6,-0.5,25.796626959085
1.0,60.0,1.0,24.0,-0.5,25.46938775510204
1.0,38.0,1.0,24.0,0.6,23.97909254103113
1.0,24.0,2.0,24.6,0.0,20.506310322743172
1.0,38.0,1.0,24.6,0.1,26.214147247991963
1.0,31.0,1.0,24.0,0.0,23.52654131790789
1.0,24.0,2.0,24.7,0.0,20.483819319961547
1.0,24.0,1.0,23.5,-1.0,22.362077494483906
1.0,24.0,1.0,23.5,1.0,24.253840692260745
1.0,31.0,1.0,24.0,-3.0,23.962661073608295
1.0,24.0,1.0,23.5,0.0,21.841843124361034
1.0,24.0,2.0,23.7,0.0,23.521414476308692
1.0,45.0,1.0,23.5,0.7,24.174920304396913
1.0,38.0,1.0,24.0,-0.5,24.376907410572834
1.0,45.0,1.0,24.1,-0.5,26.755393200738546
1.0,31.0,1.0,24.1,-1.0,24.78389439342169
1.0,31.0,1.0,24.1,0.0,23.52654131790789
1.0,31.0,1.0,24.0,1.0,22.706210360953254
1.0,31.0,1.0,24.6,0.0,21.948150362352557
1.0,31.0,1.0,24.0,-0.5,24.5062602339764
1.0,38.0,1.0,24.0,0.5,24.376907410572834
1.0,31.0,1.0,23.5,-1.0,26.285042156097216
1.0,38.0,1.0,23.5,0.0,29.302550121039065
1.0,24.0,1.0,23.6,1.0,25.118279025257603
1.0,24.0,2.0,23.6,-0.3,23.21654550065557
1.0,38.0,1.0,23.6,0.8,25.069049017250517
1.0,24.0,1.0,23.6,0.5,22.49779683317904
1.0,38.0,1.0,23.1,-1.5,25.033017972257696
1.0,31.0,1.0,23.1,-0.6,26.88596614547081
1.0,52.0,1.0,24.0,0.0,24.895444120841784
1.0,45.0,2.0,24.0,0.9,22.507560560768646
1.0,45.0,1.0,24.0,2.0,26.298315351751835
1.0,31.0,2.0,25.2,0.5,20.081846121101584
1.0,38.0,1.0,23.6,-1.0,27.567076885953433
1.0,24.0,1.0,24.5,-0.5,26.894109105868353
1.0,24.0,2.0,24.0,0.0,20.97743780947237
1.0,24.0,1.0,25.2,0.4,25.481926701049588
1.0,31.0,1.0,25.2,-2.0,26.43784976384138
1.0,45.0,1.0,23.6,0.0,25.023080516644352
1.0,38.0,2.0,24.2,1.0,21.720851368340142
1.0,38.0,1.0,24.3,1.7,24.346474764329308
1.0,24.0,2.0,24.2,1.0,20.63190532095474
1.0,24.0,1.0,23.2,0.0,20.610168201928403
1.0,31.0,2.0,24.2,-0.5,21.246826827213376
1.0,38.0,2.0,23.2,-0.5,20.389117402897085
1.0,31.0,1.0,25.4,1.0,24.50637769919178
1.0,24.0,2.0,25.4,1.4,21.225303827245458
1.0,31.0,1.0,24.8,0.5,23.25123323172341
1.0,45.0,1.0,24.8,-0.8,25.98642948941201
1.0,45.0,1.0,24.3,1.0,25.784468370771368
1.0,31.0,1.0,24.5,2.1,23.233870846410653
1.0,31.0,1.0,24.5,-1.0,24.78389439342169
1.0,60.0,1.0,24.5,1.0,25.1077979271752
1.0,38.0,1.0,23.6,1.0,25.295433401465992
1.0,24.0,1.0,23.5,0.0,21.841843124361034
1.0,24.0,2.0,25.2,1.0,21.225303827245458
1.0,24.0,1.0,25.3,1.9,27.13844663655659
1.0,24.0,1.0,25.2,2.0,25.785627860822945
1.0,24.0,1.0,25.2,2.0,25.785627860822945
1.0,24.0,2.0,25.0,1.5,21.49662154004663
1.0,38.0,2.0,25.0,1.5,23.980441057009795
1.0,31.0,2.0,24.5,0.6,21.365981412367695
1.0,24.0,2.0,25.0,0.5,21.600120578662235
1.0,18.0,2.0,25.0,0.6,20.936859157738674
1.0,18.0,1.0,25.0,1.0,20.98105170617655
1.0,24.0,2.0,24.5,2.0,20.400229333552566
1.0,31.0,1.0,25.6,-1.0,25.738027964546973
1.0,24.0,1.0,25.6,1.0,27.226325709898653
1.0,24.0,1.0,25.3,1.3,27.226325709898653
1.0,18.0,1.0,25.3,1.3,20.98105170617655
1.0,38.0,1.0,23.5,-0.3,29.302550121039065
1.0,24.0,2.0,23.7,0.0,23.521414476308692
1.0,24.0,2.0,23.7,1.0,20.89611078374335
1.0,24.0,1.0,23.1,-1.5,20.56049136129298
1.0,38.0,1.0,23.7,0.0,26.053771830798855
1.0,24.0,1.0,23.1,0.0,20.610168201928403
