Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject height (cm),Subject weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database,BMI
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,32.0,0.0,0.0,0.0,cooler,,more,,0.1,5.0,25.39,0.66,1.0,,,,,25.3,77.5,,,,,,,,,,,,,25.2,77.4,,,,,50.0,,,0.04,7.87,,,,,,,,88.0,,,0.0,0.0,,30.4,86.7,Database 2,4100.986549460881
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,31.2,0.0,1.0,0.0,cooler,,more,,0.0,5.0,25.25,0.64,1.0,,,,,25.3,77.5,,,,,,,,,,,,,25.2,77.4,,,,,50.0,,,0.04,7.87,,,,,,,,60.0,,,0.0,0.0,,30.4,86.7,Database 2,4295.31328105733
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,31.2,0.0,1.0,0.0,cooler,,more,,0.2,5.0,25.67,0.7,1.0,,,,,25.3,77.5,,,,,,,,,,,,,25.2,77.4,,,,,50.0,,,0.04,7.87,,,,,,,,65.0,,,0.0,0.0,,30.4,86.7,Database 2,4295.31328105733
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,29.4,1.0,-1.0,1.0,warmer,,more,,0.2,6.0,26.01,0.75,1.0,,,,,25.3,77.5,,,,,,,,,,,,,25.2,77.4,,,,,50.0,,,0.04,7.87,,,,,,,,60.0,,,0.0,0.0,,30.4,86.7,Database 2,4577.934724766552
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,41.4,0.0,-1.0,0.0,warmer,,more,,0.2,6.0,25.81,0.72,1.0,,,,,25.3,77.5,,,,,,,,,,,,,25.2,77.4,,,,,50.0,,,0.04,7.87,,,,,,,,68.0,,,0.0,0.0,,30.4,86.7,Database 2,4042.2538999379367
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,29.8,0.0,3.0,1.0,cooler,,more,,0.2,5.0,25.67,0.7,1.0,,,,,25.3,77.5,,,,,,,,,,,,,25.2,77.4,,,,,50.0,,,0.04,7.87,,,,,,,,78.0,,,0.0,0.0,,30.4,86.7,Database 2,3834.014363365489
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,27.4,1.0,0.0,1.0,no change,,no change,,0.2,6.0,26.01,0.75,1.0,,,,,25.3,77.5,,,,,,,,,,,,,25.2,77.4,,,,,50.0,,,0.04,7.87,,,,,,,,57.0,,,0.0,0.0,,30.4,86.7,Database 2,3472.0417425831306
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,32.0,0.0,0.0,1.0,no change,,more,,0.2,5.0,25.67,0.7,1.0,,,,,25.3,77.5,,,,,,,,,,,,,25.2,77.4,,,,,50.0,,,0.04,7.87,,,,,,,,57.0,,,0.0,0.0,,30.4,86.7,Database 2,4100.986549460881
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,27.4,1.0,0.0,1.0,no change,,more,,0.2,6.0,26.01,0.75,1.0,,,,,25.3,77.5,,,,,,,,,,,,,25.2,77.4,,,,,50.0,,,0.04,7.87,,,,,,,,48.0,,,0.0,0.0,,30.4,86.7,Database 2,3472.0417425831306
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,28.4,0.0,1.0,1.0,cooler,,more,,1.2,36.0,28.86,0.72,1.0,,,,,28.6,83.5,,,,,,,,,,,,,28.6,83.5,,,,,42.0,,,0.05,9.84,,,,,,,,81.0,,,0.0,0.0,,30.4,86.7,Database 2,3746.524280457049
