Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject height (cm),Subject weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database,BMI
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,33.4,0.0,1.0,1.0,cooler,,no change,,0.6,13.0,26.61,0.68,1.0,,,,,28.6,83.5,,,,,,,,,,,,,27.9,82.2,,,,,37.0,,,0.23,45.28,,,,,,,,65.0,,,0.0,0.0,,31.5,88.7,Database 2,3725.723923095132
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,28.6,0.0,0.0,0.0,no change,,more,,0.5,10.0,26.23,0.62,1.0,,,,,28.6,83.5,,,,,,,,,,,,,27.9,82.2,,,,,37.0,,,0.23,45.28,,,,,,,,80.0,,,0.0,0.0,,31.5,88.7,Database 2,4025.2276334911394
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,33.4,0.0,1.0,1.0,cooler,,no change,,0.6,13.0,26.61,0.68,1.0,,,,,28.6,83.5,,,,,,,,,,,,,27.9,82.2,,,,,37.0,,,0.23,45.28,,,,,,,,98.0,,,0.0,0.0,,31.5,88.7,Database 2,3725.723923095132
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,26.2,0.0,2.0,1.0,cooler,,less,,1.5,52.0,29.48,0.68,1.0,,,,,30.2,86.4,,,,,,,,,,,,,29.8,85.6,,,,,36.0,,,0.05,9.84,,,,,,,,,,,0.0,1.0,,31.5,88.7,Database 2,4050.0273311579913
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,24.8,0.0,-1.0,1.0,no change,,no change,,1.5,52.0,29.48,0.68,1.0,,,,,30.2,86.4,,,,,,,,,,,,,29.8,85.6,,,,,36.0,,,0.05,9.84,,,,,,,,70.0,,,0.0,1.0,,31.5,88.7,Database 2,3955.2494164913433
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,24.4,0.0,3.0,0.0,cooler,,more,,1.5,52.0,29.48,0.68,1.0,,,,,30.2,86.4,,,,,,,,,,,,,29.8,85.6,,,,,36.0,,,0.05,9.84,,,,,,,,51.0,,,0.0,1.0,,31.5,88.7,Database 2,3686.4853806757537
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,27.2,0.0,1.0,1.0,cooler,,more,,1.5,52.0,29.48,0.68,1.0,,,,,30.2,86.4,,,,,,,,,,,,,29.8,85.6,,,,,36.0,,,0.05,9.84,,,,,,,,85.0,,,0.0,1.0,,31.5,88.7,Database 2,4150.422221994549
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,27.2,0.0,1.0,0.0,cooler,,no change,,1.5,52.0,29.48,0.68,1.0,,,,,30.2,86.4,,,,,,,,,,,,,29.8,85.6,,,,,36.0,,,0.05,9.84,,,,,,,,54.0,,,0.0,1.0,,31.5,88.7,Database 2,4150.422221994549
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,30.2,0.0,0.0,1.0,cooler,,no change,,1.5,52.0,29.48,0.68,1.0,,,,,30.2,86.4,,,,,,,,,,,,,29.8,85.6,,,,,36.0,,,0.05,9.84,,,,,,,,,,,0.0,1.0,,31.5,88.7,Database 2,3958.9577070423793
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,27.2,0.0,1.0,1.0,cooler,,more,,1.5,52.0,29.48,0.68,1.0,,,,,30.2,86.4,,,,,,,,,,,,,29.8,85.6,,,,,36.0,,,0.05,9.84,,,,,,,,65.0,,,0.0,1.0,,31.5,88.7,Database 2,4150.422221994549
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,28.6,0.0,1.0,1.0,no change,,more,,1.5,52.0,29.64,0.68,1.0,,,,,30.6,87.1,,,,,,,,,,,,,30.2,86.4,,,,,34.0,,,0.12,23.62,,,,,,,,71.0,,,0.0,1.0,,31.5,88.7,Database 2,4188.421341103224
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,23.8,0.0,2.0,1.0,cooler,,more,,1.5,52.0,29.64,0.68,1.0,,,,,30.6,87.1,,,,,,,,,,,,,30.2,86.4,,,,,34.0,,,0.12,23.62,,,,,,,,78.0,,,0.0,1.0,,31.5,88.7,Database 2,3944.7400108537695
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,23.8,0.0,2.0,1.0,cooler,,more,,1.5,52.0,29.64,0.68,1.0,,,,,30.6,87.1,,,,,,,,,,,,,30.2,86.4,,,,,34.0,,,0.12,23.62,,,,,,,,73.0,,,0.0,1.0,,31.5,88.7,Database 2,3944.7400108537695
