Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject height (cm),Subject weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database,BMI
"Langevin J, Gurian PL, & Wen J. 氓脢(2015). Tracking the human-building interaction: A longitudinal field study of occ upant behavior in air-conditioned offices. 氓脢Journal of Environmental Psychology, 42, 94-115.",Langevin J.,2015.0,0.0,Cfa,2.0,Philadelphia,USA,Office,Mixed Mode,Air Conditioned,Mechanical Heating,46.0,1.0,0.0,1.0,,,,5.0,,,,0.64,,,1.4,,1.6,22.3,72.2,,,22.3,72.2,,,22.3,72.2,,,,,,,22.3,72.2,,,32.5,,,0.03,5.3,,,0.03,5.3,,,,,,,,,,17.0,62.6,Database 2,3810.686394689809
"Langevin J, Gurian PL, & Wen J. 氓脢(2015). Tracking the human-building interaction: A longitudinal field study of occ upant behavior in air-conditioned offices. 氓脢Journal of Environmental Psychology, 42, 94-115.",Langevin J.,2015.0,0.0,Cfa,2.0,Philadelphia,USA,Office,Mixed Mode,Air Conditioned,Mechanical Heating,59.4,1.0,0.0,1.0,,,,5.0,,,,0.64,,,1.1,,1.1,23.7,74.7,,,23.7,74.7,,,23.7,74.7,,,,,,,23.7,74.7,,,33.1,,,0.03,5.3,,,0.03,5.3,,,,,,,,,,23.0,73.4,Database 2,3493.938247821296
"Langevin J, Gurian PL, & Wen J. 氓脢(2015). Tracking the human-building interaction: A longitudinal field study of occ upant behavior in air-conditioned offices. 氓脢Journal of Environmental Psychology, 42, 94-115.",Langevin J.,2015.0,0.0,Cfa,2.0,Philadelphia,USA,Office,Mixed Mode,Air Conditioned,Mechanical Heating,39.2,1.0,1.0,1.0,,,,5.0,,,,0.64,,,1.2,,1.2,24.4,75.9,,,24.4,75.9,,,24.4,75.9,,,,,,,24.4,75.9,,,34.2,,,0.03,5.3,,,0.03,5.3,,,,,,,,,,23.0,73.4,Database 2,3862.266779171544
"Langevin J, Gurian PL, & Wen J. 氓脢(2015). Tracking the human-building interaction: A longitudinal field study of occ upant behavior in air-conditioned offices. 氓脢Journal of Environmental Psychology, 42, 94-115.",Langevin J.,2015.0,0.0,Cfa,2.0,Philadelphia,USA,Office,Mixed Mode,Air Conditioned,Mechanical Heating,38.6,1.0,0.0,1.0,,,,5.0,,,,0.56,,,1.4,,1.8,22.7,72.8,,,22.7,72.8,,,22.7,72.8,,,,,,,22.7,72.8,,,44.4,,,0.03,5.3,,,0.03,5.3,,,,,,,,,,22.0,71.6,Database 2,3638.758694714245
"Langevin J, Gurian PL, & Wen J. 氓脢(2015). Tracking the human-building interaction: A longitudinal field study of occ upant behavior in air-conditioned offices. 氓脢Journal of Environmental Psychology, 42, 94-115.",Langevin J.,2015.0,0.0,Cfa,2.0,Philadelphia,USA,Office,Mixed Mode,Air Conditioned,Mechanical Heating,39.2,1.0,1.0,1.0,,,,4.0,,,,0.56,,,1.1,,1.0,23.9,75.0,,,23.9,75.0,,,23.9,75.0,,,,,,,23.9,75.0,,,40.2,,,0.03,5.3,,,0.03,5.3,,,,,,,,,,27.2,80.9,Database 2,4050.741544011972
"Langevin J, Gurian PL, & Wen J. 氓脢(2015). Tracking the human-building interaction: A longitudinal field study of occ upant behavior in air-conditioned offices. 氓脢Journal of Environmental Psychology, 42, 94-115.",Langevin J.,2015.0,0.0,Cfa,2.0,Philadelphia,USA,Office,Mixed Mode,Air Conditioned,Mechanical Heating,39.2,1.0,1.0,1.0,,,,4.0,,,,0.56,,,1.2,,1.0,24.1,75.3,,,24.1,75.3,,,24.1,75.3,,,,,,,24.1,75.3,,,37.8,,,0.03,5.3,,,0.03,5.3,,,,,,,,,,29.0,84.2,Database 2,4050.741544011972
"Langevin J, Gurian PL, & Wen J. 氓脢(2015). Tracking the human-building interaction: A longitudinal field study of occ upant behavior in air-conditioned offices. 氓脢Journal of Environmental Psychology, 42, 94-115.",Langevin J.,2015.0,0.0,Cfa,2.0,Philadelphia,USA,Office,Mixed Mode,Air Conditioned,Mechanical Heating,50.8,1.0,2.0,0.0,,,,3.0,,,,0.51,,,1.6,,1.9,23.2,73.8,,,23.2,73.8,,,23.2,73.8,,,,,,,23.2,73.8,,,44.5,,,0.03,5.3,,,0.03,5.3,,,,,,,,,,24.0,75.2,Database 2,3912.766601819043
"Langevin J, Gurian PL, & Wen J. 氓脢(2015). Tracking the human-building interaction: A longitudinal field study of occ upant behavior in air-conditioned offices. 氓脢Journal of Environmental Psychology, 42, 94-115.",Langevin J.,2015.0,0.0,Cfa,2.0,Philadelphia,USA,Office,Mixed Mode,Air Conditioned,Mechanical Heating,21.6,1.0,0.0,1.0,,,,5.0,,,,0.51,,,1.3,,1.0,24.1,75.3,,,24.1,75.3,,,24.1,75.3,,,,,,,24.1,75.3,,,44.9,,,0.03,5.3,,,0.03,5.3,,,,,,,,,,30.0,86.0,Database 2,3427.974417615147
"Langevin J, Gurian PL, & Wen J. 氓脢(2015). Tracking the human-building interaction: A longitudinal field study of occ upant behavior in air-conditioned offices. 氓脢Journal of Environmental Psychology, 42, 94-115.",Langevin J.,2015.0,0.0,Cfa,2.0,Philadelphia,USA,Office,Mixed Mode,Air Conditioned,Mechanical Heating,34.8,1.0,0.0,1.0,,,,5.0,,,,0.51,,,1.1,,1.0,24.8,76.6,,,24.8,76.6,,,24.8,76.6,,,,,,,24.8,76.6,,,45.7,,,0.03,5.3,,,0.03,5.3,,,,,,,,,,31.0,87.8,Database 2,4345.360167077464
"Langevin J, Gurian PL, & Wen J. 氓脢(2015). Tracking the human-building interaction: A longitudinal field study of occ upant behavior in air-conditioned offices. 氓脢Journal of Environmental Psychology, 42, 94-115.",Langevin J.,2015.0,0.0,Cfa,2.0,Philadelphia,USA,Office,Mixed Mode,Air Conditioned,Mechanical Heating,29.4,1.0,0.0,1.0,,,,4.0,,,,0.55,,,1.4,,1.6,23.4,74.1,,,23.4,74.1,,,23.4,74.1,,,,,,,23.4,74.1,,,54.8,,,0.03,5.3,,,0.03,5.3,,,,,,,,,,21.0,69.8,Database 2,3467.87027792335
