Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject height (cm),Subject weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database,BMI
"Wang, Z., Li, A., Ren, J. and He, Y., 2014. Thermal adaptation and thermal environment in university classrooms and offices in Harbin. Energy and Buildings, 77, pp.192-196.",Zhaojun Wang,2011.0,0.0,Dwa,3.0,Harbin,China,Classroom,,,Mechanical Heating,15.0,0.0,3.0,,cooler,,more,,,,,,,,,,,24.9,76.8,25.0,77.0,24.7,76.5,24.9,76.8,,,,,,,,,,,,,18.2,more humid,1.0,0.12,22.97,0.1,19.69,0.14,27.56,0.11,21.65,,,,,,,,14.0,57.2,Database 2,4029.98890538165
"Wang, Z., Li, A., Ren, J. and He, Y., 2014. Thermal adaptation and thermal environment in university classrooms and offices in Harbin. Energy and Buildings, 77, pp.192-196.",Zhaojun Wang,2011.0,0.0,Dwa,3.0,Harbin,China,Classroom,,,Mechanical Heating,20.0,0.0,0.0,,no change,,more,,,,,,,,,,,24.9,76.8,25.0,77.0,24.7,76.5,24.9,76.8,,,,,,,,,,,,,18.2,more humid,1.0,0.12,22.97,0.1,19.69,0.14,27.56,0.11,21.65,,,,,,,,14.0,57.2,Database 2,3804.804804804805
"Wang, Z., Li, A., Ren, J. and He, Y., 2014. Thermal adaptation and thermal environment in university classrooms and offices in Harbin. Energy and Buildings, 77, pp.192-196.",Zhaojun Wang,2011.0,0.0,Dwa,3.0,Harbin,China,Classroom,,,Mechanical Heating,21.0,0.0,0.0,,no change,,no change,,,,,,,,,,,24.9,76.8,25.0,77.0,24.8,76.6,24.9,76.8,,,,,,,,,,,,,18.4,more humid,1.0,0.1,20.34,0.1,19.69,0.1,19.69,0.11,21.65,,,,,,,,14.0,57.2,Database 2,3865.8383147661743
"Wang, Z., Li, A., Ren, J. and He, Y., 2014. Thermal adaptation and thermal environment in university classrooms and offices in Harbin. Energy and Buildings, 77, pp.192-196.",Zhaojun Wang,2011.0,0.0,Dwa,3.0,Harbin,China,Classroom,,,Mechanical Heating,23.0,1.0,2.0,,no change,,no change,,,,,,,,,,,24.9,76.8,25.0,77.0,24.8,76.6,24.9,76.8,,,,,,,,,,,,,18.4,more humid,2.0,0.1,20.34,0.1,19.69,0.1,19.69,0.11,21.65,,,,,,,,14.0,57.2,Database 2,4058.4448585576138
"Wang, Z., Li, A., Ren, J. and He, Y., 2014. Thermal adaptation and thermal environment in university classrooms and offices in Harbin. Energy and Buildings, 77, pp.192-196.",Zhaojun Wang,2011.0,0.0,Dwa,3.0,Harbin,China,Classroom,,,Mechanical Heating,18.0,0.0,1.0,,cooler,,more,,,,,,,,,,,24.9,76.8,25.0,77.0,24.8,76.6,24.9,76.8,,,,,,,,,,,,,18.4,more humid,-2.0,0.1,20.34,0.1,19.69,0.1,19.69,0.11,21.65,,,,,,,,14.0,57.2,Database 2,3890.437126856329
"Wang, Z., Li, A., Ren, J. and He, Y., 2014. Thermal adaptation and thermal environment in university classrooms and offices in Harbin. Energy and Buildings, 77, pp.192-196.",Zhaojun Wang,2011.0,0.0,Dwa,3.0,Harbin,China,Classroom,,,Mechanical Heating,20.0,1.0,0.0,,cooler,,less,,,,,,,,,,,24.9,76.8,25.0,77.0,24.8,76.6,24.9,76.8,,,,,,,,,,,,,18.4,more humid,3.0,0.1,20.34,0.1,19.69,0.1,19.69,0.11,21.65,,,,,,,,14.0,57.2,Database 2,3555.765309871056
"Wang, Z., Li, A., Ren, J. and He, Y., 2014. Thermal adaptation and thermal environment in university classrooms and offices in Harbin. Energy and Buildings, 77, pp.192-196.",Zhaojun Wang,2011.0,0.0,Dwa,3.0,Harbin,China,Classroom,,,Mechanical Heating,24.0,0.0,0.0,,warmer,,no change,,,,,,,,,,,24.9,76.8,25.0,77.0,24.8,76.6,24.9,76.8,,,,,,,,,,,,,18.4,more humid,1.0,0.1,20.34,0.1,19.69,0.1,19.69,0.11,21.65,,,,,,,,14.0,57.2,Database 2,4025.04868465598
"Wang, Z., Li, A., Ren, J. and He, Y., 2014. Thermal adaptation and thermal environment in university classrooms and offices in Harbin. Energy and Buildings, 77, pp.192-196.",Zhaojun Wang,2011.0,0.0,Dwa,3.0,Harbin,China,Classroom,,,Mechanical Heating,25.0,0.0,0.0,,no change,,more,,,,,,,,,,,24.9,76.8,25.0,77.0,24.8,76.6,24.9,76.8,,,,,,,,,,,,,18.4,more humid,1.0,0.1,20.34,0.1,19.69,0.1,19.69,0.11,21.65,,,,,,,,14.0,57.2,Database 2,3995.9683334339943
"Wang, Z., Li, A., Ren, J. and He, Y., 2014. Thermal adaptation and thermal environment in university classrooms and offices in Harbin. Energy and Buildings, 77, pp.192-196.",Zhaojun Wang,2011.0,0.0,Dwa,3.0,Harbin,China,Classroom,,,Mechanical Heating,22.0,0.0,0.0,,cooler,,more,,,,,,,,,,,24.9,76.9,25.0,77.0,24.9,76.8,24.9,76.8,,,,,,,,,,,,,18.7,more humid,1.0,0.11,21.65,0.11,21.65,0.1,19.69,0.12,23.62,,,,,,,,14.0,57.2,Database 2,3863.254622290767
"Wang, Z., Li, A., Ren, J. and He, Y., 2014. Thermal adaptation and thermal environment in university classrooms and offices in Harbin. Energy and Buildings, 77, pp.192-196.",Zhaojun Wang,2011.0,0.0,Dwa,3.0,Harbin,China,Classroom,,,Mechanical Heating,21.0,0.0,3.0,,cooler,,more,,,,,,,,,,,24.9,76.9,25.0,77.0,24.9,76.8,24.9,76.8,,,,,,,,,,,,,18.7,more humid,2.0,0.11,21.65,0.11,21.65,0.1,19.69,0.12,23.62,,,,,,,,14.0,57.2,Database 2,4139.9554026093765
