Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject height (cm),Subject weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database,BMI
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,36.0,0.0,0.0,1.0,no change,,no change,,1.3,38.0,28.5,0.64,1.0,,,,,29.3,84.7,,,,,,,,,,,,,29.7,85.5,,,,,40.0,,,0.22,43.31,,,,,,,,100.0,,,0.0,0.0,,38.1,100.5,Database 2,4102.122215094059
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,31.0,1.0,-1.0,0.0,warmer,,no change,,1.5,49.0,29.63,0.84,1.0,,,,,29.3,84.7,,,,,,,,,,,,,29.7,85.5,,,,,40.0,,,0.22,43.31,,,,,,,,45.0,,,0.0,0.0,,38.1,100.5,Database 2,3670.128847760426
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,43.6,0.0,2.0,,cooler,,more,,1.3,42.0,28.84,0.7,1.0,,,,,29.3,84.7,,,,,,,,,,,,,29.7,85.5,,,,,40.0,,,0.22,43.31,,,,,,,,72.0,,,0.0,0.0,,38.1,100.5,Database 2,3959.283488899901
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,31.0,1.0,-1.0,1.0,warmer,,no change,,1.4,45.0,29.13,0.75,1.0,,,,,29.3,84.7,,,,,,,,,,,,,29.7,85.5,,,,,40.0,,,0.22,43.31,,,,,,,,52.0,,,0.0,0.0,,38.1,100.5,Database 2,3670.128847760426
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,31.0,1.0,-1.0,1.0,warmer,,more,,1.4,45.0,29.13,0.75,1.0,,,,,29.3,84.7,,,,,,,,,,,,,29.7,85.5,,,,,40.0,,,0.22,43.31,,,,,,,,43.0,,,0.0,0.0,,38.1,100.5,Database 2,3670.128847760426
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,27.2,1.0,-2.0,,warmer,,more,,1.6,56.0,30.43,0.99,1.0,,,,,29.3,84.7,,,,,,,,,,,,,29.7,85.5,,,,,40.0,,,0.22,43.31,,,,,,,,50.0,,,0.0,0.0,,38.1,100.5,Database 2,3584.274921092906
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,37.0,1.0,-1.0,1.0,cooler,,no change,,1.4,48.0,30.28,0.97,1.0,,,,,28.9,84.0,,,,,,,,,,,,,29.2,84.6,,,,,38.0,,,0.16,31.5,,,,,,,,64.0,,,0.0,0.0,,38.1,100.5,Database 2,3771.460005532105
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,25.2,1.0,1.0,1.0,cooler,,more,,1.2,37.0,29.07,0.74,1.0,,,,,28.9,84.0,,,,,,,,,,,,,29.2,84.6,,,,,38.0,,,0.16,31.5,,,,,,,,49.0,,,0.0,0.0,,38.1,100.5,Database 2,3697.952391288619
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,34.0,1.0,3.0,0.0,cooler,,more,,1.4,48.0,30.28,0.97,1.0,,,,,28.9,84.0,,,,,,,,,,,,,29.2,84.6,,,,,38.0,,,0.16,31.5,,,,,,,,52.0,,,0.0,0.0,,38.1,100.5,Database 2,4226.618532317701
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,29.4,1.0,-2.0,0.0,no change,,no change,,1.3,42.0,29.61,0.84,1.0,,,,,28.9,84.0,,,,,,,,,,,,,29.2,84.6,,,,,38.0,,,0.16,31.5,,,,,,,,38.0,,,0.0,0.0,,38.1,100.5,Database 2,3540.671214857621
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,35.0,0.0,0.0,1.0,no change,,no change,,0.1,5.0,25.77,0.64,1.0,,,,,25.8,78.4,,,,,,,,,,,,,26.4,79.5,,,,,41.0,,,0.19,37.4,,,,,,,,100.0,,,0.0,0.0,,38.1,100.5,Database 2,4061.0000153159417
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,29.8,1.0,2.0,0.0,warmer,,more,,0.6,13.0,27.77,0.97,1.0,,,,,25.8,78.4,,,,,,,,,,,,,26.4,79.5,,,,,41.0,,,0.19,37.4,,,,,,,,44.0,,,0.0,0.0,,38.1,100.5,Database 2,3920.9117559552687
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,32.4,1.0,3.0,0.0,no change,,more,,0.4,9.0,27.01,0.84,1.0,,,,,25.8,78.4,,,,,,,,,,,,,26.4,79.5,,,,,41.0,,,0.19,37.4,,,,,,,,42.0,,,0.0,0.0,,38.1,100.5,Database 2,3587.4386218453737
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,32.4,1.0,3.0,,no change,,no change,,0.4,9.0,27.01,0.84,1.0,,,,,25.8,78.4,,,,,,,,,,,,,26.4,79.5,,,,,41.0,,,0.19,37.4,,,,,,,,62.0,,,0.0,0.0,,38.1,100.5,Database 2,3587.4386218453737
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,32.4,1.0,3.0,1.0,cooler,,less,,0.4,9.0,27.01,0.84,1.0,,,,,25.8,78.4,,,,,,,,,,,,,26.4,79.5,,,,,41.0,,,0.19,37.4,,,,,,,,65.0,,,0.0,0.0,,38.1,100.5,Database 2,3587.4386218453737
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,24.2,1.0,-2.0,1.0,warmer,,no change,,0.4,9.0,27.01,0.84,1.0,,,,,25.8,78.4,,,,,,,,,,,,,26.4,79.5,,,,,41.0,,,0.19,37.4,,,,,,,,53.0,,,0.0,0.0,,38.1,100.5,Database 2,3855.095774218808
