Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject height (cm),Subject weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database,BMI
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,BSh,1.0,Hyderabad,India,Office,Naturally Ventilated,,,27.2,0.0,1.0,,cooler,,more,,0.3,7.0,25.86,0.62,1.0,,,,,29.7,85.5,,,,,,,,,,,,,26.3,79.3,,,,,58.0,,,0.14,27.56,,,,,,,,70.0,,,1.0,1.0,,27.0,80.6,Database 2,3547.631068601028
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,BSh,1.0,Hyderabad,India,Office,Naturally Ventilated,,,27.2,0.0,1.0,0.0,no change,,less,,0.4,9.0,26.36,0.68,1.0,,,,,29.7,85.5,,,,,,,,,,,,,26.3,79.3,,,,,58.0,,,0.14,27.56,,,,,,,,53.0,,,1.0,1.0,,27.0,80.6,Database 2,3547.631068601028
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,BSh,1.0,Hyderabad,India,Office,Naturally Ventilated,,,57.0,0.0,0.0,1.0,no change,,more,,0.3,7.0,25.86,0.62,1.0,,,,,29.7,85.5,,,,,,,,,,,,,26.3,79.3,,,,,58.0,,,0.14,27.56,,,,,,,,71.0,,,1.0,1.0,,27.0,80.6,Database 2,3798.669697397948
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,BSh,1.0,Hyderabad,India,Office,Naturally Ventilated,,,22.8,0.0,-1.0,1.0,no change,,more,,0.4,9.0,26.36,0.68,1.0,,,,,29.7,85.5,,,,,,,,,,,,,26.3,79.3,,,,,58.0,,,0.14,27.56,,,,,,,,74.0,,,1.0,1.0,,27.0,80.6,Database 2,3797.588740987994
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,BSh,1.0,Hyderabad,India,Office,Naturally Ventilated,,,30.4,0.0,-2.0,0.0,warmer,,more,,1.8,65.0,30.93,0.68,1.0,,,,,30.0,86.0,,,,,,,,,,,,,29.9,85.8,,,,,56.0,,,0.06,11.81,,,,,,,,65.0,,,,1.0,,27.0,80.6,Database 2,3921.35892534064
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,BSh,1.0,Hyderabad,India,Office,Naturally Ventilated,,,37.0,1.0,0.0,1.0,cooler,,more,,1.8,67.0,31.16,0.72,1.0,,,,,30.0,86.0,,,,,,,,,,,,,29.9,85.8,,,,,56.0,,,0.06,11.81,,,,,,,,45.0,,,,1.0,,27.0,80.6,Database 2,3733.715146769016
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,BSh,1.0,Hyderabad,India,Office,Naturally Ventilated,,,45.0,1.0,1.0,1.0,cooler,,more,,1.7,63.0,30.62,0.63,1.0,,,,,30.0,86.0,,,,,,,,,,,,,29.9,85.8,,,,,56.0,,,0.06,11.81,,,,,,,,65.0,,,,1.0,,27.0,80.6,Database 2,3724.741393805045
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,32.8,0.0,-2.0,1.0,warmer,,no change,,1.0,27.0,28.18,0.68,1.0,,,,,28.3,82.9,,,,,,,,,,,,,28.0,82.4,,,,,44.0,,,0.05,9.84,,,,,,,,75.0,,,0.0,1.0,,27.0,80.6,Database 2,3941.157871263929
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,44.6,1.0,-2.0,1.0,no change,,no change,,1.0,24.0,27.87,0.63,1.0,,,,,28.3,82.9,,,,,,,,,,,,,28.0,82.4,,,,,44.0,,,0.05,9.84,,,,,,,,70.0,,,0.0,1.0,,27.0,80.6,Database 2,4118.449843216093
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,1.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,32.4,0.0,1.0,1.0,cooler,,no change,,1.0,27.0,28.18,0.68,1.0,,,,,28.3,82.9,,,,,,,,,,,,,28.0,82.4,,,,,44.0,,,0.05,9.84,,,,,,,,77.0,,,0.0,1.0,,27.0,80.6,Database 2,3800.392301766017
